alpha,seed,weighting,student_acc,student_macro_f1,gap_recovery,lower_acc,upper_acc,best_epoch
0.1000,42,uniform,0.7914,0.7937,-74.2308,0.8300,0.8820,26
0.1000,42,top_1,0.7756,0.7729,-104.6154,0.8300,0.8820,39
0.1000,42,top_3,0.8154,0.8144,-28.0769,0.8300,0.8820,33
0.1000,123,uniform,0.7826,0.7858,-87.6812,0.8310,0.8862,16
0.1000,123,top_1,0.7824,0.7835,-88.0435,0.8310,0.8862,38
0.1000,123,top_3,0.8102,0.8120,-37.6812,0.8310,0.8862,39
0.5000,42,uniform,0.8276,0.8245,-4.6154,0.8300,0.8820,30
0.5000,42,top_1,0.8290,0.8287,-1.9231,0.8300,0.8820,38
0.5000,42,top_3,0.8394,0.8390,18.0769,0.8300,0.8820,37
0.5000,123,uniform,0.8294,0.8282,-2.8986,0.8310,0.8862,28
0.5000,123,top_1,0.8204,0.8179,-19.2029,0.8310,0.8862,32
0.5000,123,top_3,0.8340,0.8327,5.4348,0.8310,0.8862,34
1.0000,42,uniform,0.8470,0.8461,32.6923,0.8300,0.8820,37
1.0000,42,top_1,0.8300,0.8280,0.0000,0.8300,0.8820,39
1.0000,42,top_3,0.8410,0.8400,21.1538,0.8300,0.8820,30
1.0000,123,uniform,0.8436,0.8419,22.8261,0.8310,0.8862,39
1.0000,123,top_1,0.8282,0.8280,-5.0725,0.8310,0.8862,37
1.0000,123,top_3,0.8406,0.8397,17.3913,0.8310,0.8862,35
10.0000,42,uniform,0.8488,0.8479,36.1538,0.8300,0.8820,38
10.0000,42,top_1,0.8354,0.8347,10.3846,0.8300,0.8820,35
10.0000,42,top_3,0.8434,0.8427,25.7692,0.8300,0.8820,35
10.0000,123,uniform,0.8430,0.8419,21.7391,0.8310,0.8862,32
10.0000,123,top_1,0.8298,0.8292,-2.1739,0.8310,0.8862,28
10.0000,123,top_3,0.8394,0.8390,15.2174,0.8310,0.8862,37
100.0000,42,uniform,0.8460,0.8455,30.7692,0.8300,0.8820,37
100.0000,42,top_1,0.8400,0.8394,19.2308,0.8300,0.8820,33
100.0000,42,top_3,0.8458,0.8453,30.3846,0.8300,0.8820,38
100.0000,123,uniform,0.8446,0.8440,24.6377,0.8310,0.8862,39
100.0000,123,top_1,0.8314,0.8307,0.7246,0.8310,0.8862,39
100.0000,123,top_3,0.8390,0.8379,14.4928,0.8310,0.8862,32
